Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
not received,New Property,Unfurnished,2.0,1.33,Yeshwant Nagar,"Jan 31, '21",West,other,600.0,2,apartment,20,34,1,Covered,,
not received,New Property,Unfurnished,2.0,1.42,Crompton Greaves,"Jan 31, '21",East,other,537.0,2,apartment,16,50,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.75,Vinay Nagar,"Jan 31, '21",North - West,other,710.0,2,apartment,3,23,0,Open,,
not received,New Property,Furnished,2.0,1.3,Sardar Nagar No 1,"Jan 30, '21",West,main road,610.0,2,apartment,16,22,1,Covered,78.4307965,17.4629766
not received,New Property,Semi-Furnished,2.0,0.57,Ramdev Park,"Jan 29, '21",North - East,other,450.0,1,apartment,11,20,1,Covered,78.40604619375797,17.48551535
not received,New Property,Unfurnished,2.0,0.86,Yeshwant Nagar,"Jan 30, '21",North - East,other,390.0,1,apartment,20,34,0,Open,,
not received,New Property,Unfurnished,2.0,0.86,Vinay Nagar,"Jan 29, '21",None,main road,769.0,2,apartment,9,23,0,Open,,
not received,New Property,Unfurnished,2.0,0.81,Vinay Nagar,"Jan 30, '21",East,main road,666.0,2,apartment,6,16,0,Open,,
not received,New Property,Unfurnished,1.0,0.52,Mira Road East,"Jan 31, '21",North - East,other,435.0,1,apartment,7,17,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.74,Vinay Nagar,"Jan 31, '21",North - East,other,708.0,2,apartment,14,23,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.62,Mira Road East,"Jan 30, '21",East,main road,520.0,1,apartment,4,13,0,Open,,
received,New Property,Semi-Furnished,2.0,0.85,Mira Road East,"Jan 29, '21",North - East,other,735.0,2,apartment,9,12,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.79,Vinay Nagar,"Jan 31, '21",North - East,other,690.0,2,apartment,10,16,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.56,Ramdev Park,"Jan 30, '21",East,other,450.0,1,apartment,10,12,1,Covered,78.40604619375797,17.48551535
not received,New Property,Furnished,2.0,0.4,Tirupati Nagar,"Jan 30, '21",West,other,450.0,1,apartment,1,14,1,Open,,
not received,New Property,Unfurnished,2.0,1.03,JL Tambe Nagar,"Jan 29, '21",East,other,585.0,2,apartment,10,22,0,Open,,
not received,Resale,Unfurnished,3.0,3.0,Datta Pada,"Jan 30, '21",North,other,1042.0,3,apartment,32,63,2,Covered,,
not received,New Property,Semi-Furnished,2.0,0.5,Mira Road East,"Jan 30, '21",East,other,470.0,1,apartment,7,14,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.54,Vinay Nagar,"Jan 29, '21",North - East,other,470.0,1,apartment,10,23,1,Open,,
not received,New Property,Unfurnished,2.0,1.65,Mahatama Gandhi Road,"Jan 30, '21",East,other,658.0,2,apartment,10,14,1,Covered,,
not received,New Property,Semi-Furnished,2.0,1.5,Crompton Greaves,"Jan 29, '21",North - East,other,645.0,2,apartment,34,45,1,Covered,,
not received,Resale,Unfurnished,2.0,0.99,Kokani Pada,"Jan 29, '21",East,main road,317.0,1,apartment,31,35,1,Covered,,
not received,New Property,Unfurnished,2.0,0.56,Mira Road East,"Jan 29, '21",North - East,other,518.0,1,apartment,7,20,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.8,Mira Road East,"Jan 30, '21",North - East,other,650.0,2,apartment,10,23,1,Open,,
